id,continent,gadm_level_0,gadm_level_1,gadm_level_2,region_custom,region_detail,iso_2,iso_3,taxa,kingdom,phylum,class,order,family,source_name,source_link,language,year
59,Europe,Austria,Oberösterreich,,,,AT,AUT,Bivalvia,Animalia,Mollusca,Bivalvia,,,Artenliste der Weichtiere (Mollusca: Gastropoda und Bivalvia) des Bundeslandes Oberösterreich mit Anmerkungen zur Gefährdung,https://web.archive.org/web/20180410205950id_/http://www.zobodat.at/pdf/BNO_0021_0405-0466.pdf,Deutsch,2011
60,Europe,Austria,Oberösterreich,,,,AT,AUT,Hymenoptera,Animalia,Arthropoda,Insecta,Hymenoptera,,"Kommentierte Checkliste der Ameisen Oberösterreichs mit einer Einstufung ihrer Gefährdung (Hymenoptera, Formicidae)",https://www.zobodat.at/pdf/BNO_0019_0003-0048.pdf,Deutsch,2009
61,Europe,Austria,Oberösterreich,,,,AT,AUT,Ants,Animalia,Arthropoda,Insecta,Hymenoptera,,"Kommentierte Checkliste der Ameisen Oberösterreichs mit einer Einstufung ihrer Gefährdung (Hymenoptera, Formicidae)",https://www.zobodat.at/pdf/BNO_0019_0003-0048.pdf,Deutsch,2009
62,Europe,Austria,Oberösterreich,,,,AT,AUT,Coleoptera,Animalia,Arthropoda,Insecta,Coleoptera,,"Bestandsanalyse und Ökologie der nach FFH-Richtlinie geschützten Käfer in Oberösterreich (Insecta, Coleoptera)",https://www.zobodat.at/pdf/BNO_0010_0439-0448.pdf,Deutsch,2001
63,Europe,Austria,Burgenland,,,,AT,AUT,Magnoliophyta,Plantae,Tracheophyta,,,,CHECKLISTE UND ROTE LISTE DER FARN- UND BLÜTENPFLANZEN DES BURGENLANDES,https://www.burgenland.at/fileadmin/user_upload/20220907_RL_Burgenland.pdf,Deutsch,2022
64,Europe,Austria,Burgenland,,,,AT,AUT,Ferns,Plantae,Tracheophyta,Polypodiopsida,,,CHECKLISTE UND ROTE LISTE DER FARN- UND BLÜTENPFLANZEN DES BURGENLANDES,https://www.burgenland.at/fileadmin/user_upload/20220907_RL_Burgenland.pdf,Deutsch,2022
65,Europe,Austria,Burgenland,,,,AT,AUT,Fishes,Animalia,Chordata,,,,Rote Liste der Fische und Neunaugen des Burgenlandes,https://www.burgenland.at/fileadmin/user_upload/20220119_Rote_Liste_gefaehrdeter_Fische_Bgld_Jan2022.pdf,Deutsch,2022
66,Europe,Austria,Burgenland,,,,AT,AUT,Lampreys,Animalia,Chordata,Petromyzonti,Petromyzontiformes,,Rote Liste der Fische und Neunaugen des Burgenlandes,https://www.burgenland.at/fileadmin/user_upload/20220119_Rote_Liste_gefaehrdeter_Fische_Bgld_Jan2022.pdf,Deutsch,2022
67,Europe,Austria,Burgenland,,,,AT,AUT,Fauna,Animalia,,,,,Besonders geschützte Pflanzen- und Tierarten des Burgenlandes,https://www.burgenland.at/fileadmin/user_upload/Downloads/Umwelt_und_Agrar/Natur/Liste_geschuetzter_Arten_2018.pdf,Deutsch,2018
68,Europe,Austria,Burgenland,,,,AT,AUT,Flora,Plantae,,,,,Besonders geschützte Pflanzen- und Tierarten des Burgenlandes,https://www.burgenland.at/fileadmin/user_upload/Downloads/Umwelt_und_Agrar/Natur/Liste_geschuetzter_Arten_2018.pdf,Deutsch,2018
69,Europe,Austria,Burgenland,,,,AT,AUT,Heteroptera,Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,"Checkliste und Rote Liste der Wanzen des Burgenlandes (Insecta, Heteroptera)",https://www.zobodat.at/pdf/WM_23_0161-0306.pdf,Deutsch,2012
70,Europe,Austria,Burgenland,,,,AT,AUT,Magnoliophyta,Plantae,Tracheophyta,,,,Liste der Farn- und Blütenpfianzen des Burgenlandes,https://www.zobodat.at/pdf/Veroeff-Int-Clusius-Ges-Guessing_9_0001-0051.pdf,Deutsch,2005
71,Europe,Austria,Burgenland,,,,AT,AUT,Ferns,Plantae,Tracheophyta,Polypodiopsida,,,Liste der Farn- und Blütenpfianzen des Burgenlandes,https://www.zobodat.at/pdf/Veroeff-Int-Clusius-Ges-Guessing_9_0001-0051.pdf,Deutsch,2005
72,Europe,Austria,Burgenland,,,,AT,AUT,Heteroptera,Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,"Zur Kenntnis der Wanzenfauna (Heteroptera) des Burgenlandes, Österreich. Teil 3",https://www.zobodat.at/pdf/BEF_10_0093-0111.pdf,Deutsch,2009
